Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		1,480 K	5,708 K	8004	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,168 K	9,552 K	2800	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	0.02	6,396 K	16,368 K	644	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,272 K	3,120 K	768		
winlogon.exe		2,880 K	11,508 K	556		
 fontdrvhost.exe	0.01	1,880 K	4,940 K	776		
 dwm.exe	1.22	43,680 K	98,696 K	980		
explorer.exe	0.43	52,828 K	139,924 K	4260	Windows Explorer	Microsoft Corporation
 SecurityHealthSystray.exe		1,740 K	8,544 K	5644	Windows Security notification icon	Microsoft Corporation
 VBoxTray.exe	< 0.01	2,440 K	10,252 K	404	VirtualBox Guest Additions Tray Application	Oracle Corporation
 OneDrive.exe		22,924 K	61,400 K	2604	Microsoft OneDrive	Microsoft Corporation
 nginx.exe		1,564 K	6,852 K	6680		
  nginx.exe	< 0.01	1,980 K	7,148 K	6812		
   conhost.exe		6,512 K	10,832 K	6820	Console Window Host	Microsoft Corporation
 py.exe		1,556 K	5,984 K	6936	Python	Python Software Foundation
  conhost.exe		7,164 K	17,528 K	6944	Console Window Host	Microsoft Corporation
  python.exe	< 0.01	5,696 K	12,548 K	6984	Python	Python Software Foundation
 procexp.exe		3,156 K	10,644 K	3188	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
  procexp64.exe	12.86	30,032 K	66,304 K	7804	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
GoogleCrashHandler.exe		1,688 K	644 K	4704		
GoogleCrashHandler64.exe		1,736 K	632 K	820		
notepad.exe		3,192 K	23,668 K	4464	Notepad	Microsoft Corporation
firefox.exe	0.03	151,592 K	253,816 K	8140	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		14,392 K	57,816 K	788	Firefox Developer Edition	Mozilla Corporation
 firefox.exe	< 0.01	138,612 K	189,736 K	7856	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		22,244 K	55,344 K	7376	Firefox Developer Edition	Mozilla Corporation
 firefox.exe	0.01	85,548 K	123,796 K	7700	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		16,676 K	38,796 K	1568	Firefox Developer Edition	Mozilla Corporation

